model,silhouette,davies_bouldin,calinski_harabasz,n_clusters,coverage_ratio,n_noise
dbscan_eps0.3_ms5,0.8061868121130729,0.24474166719970256,280.71812636787354,3,0.0015,9985.0
dbscan_eps0.3_ms3,0.5895985018366032,0.4992742588493445,422.88298738918473,157,0.0546,9454.0
dbscan_eps0.5_ms10,0.3637378872888571,0.8182963145767794,220.3803408578188,21,0.0421,9579.0
dbscan_eps1.0_ms5,0.31343760372986845,0.5953983801225513,21.670710774563787,2,0.9869,131.0
kmeans_k2,0.28239815736855034,1.3112732313935966,5209.734225182123,2,1.0,
hac_k2,0.24276541986092678,1.3518424121366222,3338.460922346404,2,1.0,
kmeans_k4,0.2127243380155327,1.3770633393910185,3661.0599047282653,4,1.0,
kmeans_k5,0.21042039833628629,1.3798253773928946,3377.461999074528,5,1.0,
kmeans_k6,0.2040202313692409,1.36290832614044,3111.3423189389737,6,1.0,
kmeans_k7,0.20174890129365614,1.2752447663477162,2961.242934906132,7,1.0,
kmeans_k8,0.19725151739115646,1.3047750710036636,2830.2366213311284,8,1.0,
kmeans_k3,0.1971916795804003,1.6019679482924436,3930.782600612663,3,1.0,
hac_k3,0.16177363330022365,1.7033289101009483,2816.5640241000037,3,1.0,
hac_k4,0.1516919879852153,1.6483254978260318,2694.5461260491948,4,1.0,
hac_k5,0.14920519637607127,1.4772005098757923,2481.8260322602346,5,1.0,
dbscan_eps1.0_ms3,0.008672660220707196,0.6808243082306359,10.61765477265489,6,0.9921,79.0
dbscan_eps0.5_ms5,-0.10554625780675098,1.0507569970471966,58.170095412748445,230,0.3933,6067.0
dbscan_eps0.7_ms10,-0.25801002451734173,0.8699138786629987,49.62604394651302,19,0.7182,2818.0
dbscan_eps0.5_ms3,-0.29851095797981264,0.9614361922245106,19.14617168423594,445,0.6388,3612.0
dbscan_eps0.7_ms3,-0.39811105027197635,0.7749308283619695,12.95646717291303,51,0.9323,677.0
dbscan_eps0.7_ms5,-0.4001405224319426,0.8503555368626357,24.463751149563812,34,0.8833,1167.0
dbscan_eps1.0_ms10,-1.0,999.0,0.0,1,0.9715,285.0
dbscan_eps0.3_ms10,-1.0,999.0,0.0,0,0.0,10000.0
